payment_id,order_ref,amount,fee,settled_at
pay_216f45cc,ORD-2180,6557.25,154.75,2026-07-13
pay_393ebdb0,ORD-2181,2322.65,54.81,2026-07-12
pay_2ba5f234,ORD-2182,4300.18,101.48,2026-07-03
pay_37d2f232,ORD-2183,80935.36,1910.07,2026-06-30
pay_34834213,ORD-2184,8878.07,209.52,2026-07-16
pay_fbe7f5b,ORD-2185,1651.86,38.98,2026-06-25
pay_318d91d9,ORD-2186,16274.71,384.08,2026-08-15
pay_221af3f6,ORD-2187,4869.38,114.92,2026-07-11
pay_ab56b2f,ORD-2188,69356.48,1636.81,2026-07-18
pay_bbd4bfe,ORD-2189,4242.63,100.13,2026-06-12
pay_39c9e722,ORD-2190,16086.33,379.64,2026-06-07
pay_c95a756,ORD-2191,15027.35,354.65,2026-06-09
pay_276a9529,ORD-2192,3684.30,86.95,2026-07-29
pay_2c39a416,ORD-2193,54056.24,1275.73,2026-07-16
pay_182557cf,ORD-2194,925.28,21.84,2026-08-27
pay_f030a9e,ORD-2195,50002.15,1180.05,2026-08-16
pay_29bb4212,ORD-2196,3689.75,87.08,2026-06-12
pay_bf10327,ORD-2197,75258.73,1776.11,2026-08-29
pay_1bd4d256,ORD-2198,12251.95,289.15,2026-06-24
pay_374be3ec,ORD-2199,1831.06,43.21,2026-06-15
pay_2c2f2a26,ORD-2200,2015.44,47.56,2026-08-19
pay_21f8b857,ORD-2201,82832.34,1954.84,2026-06-24
pay_28231e1d,ORD-2202,222119.08,5242.01,2026-07-28
pay_2228a076,ORD-2203,39551.21,933.41,2026-08-28
pay_393db5c6,ORD-2204,13373.22,315.61,2026-06-21
pay_c86b581,ORD-2205,2662.66,62.84,2026-07-20
pay_bd48397,ORD-2206,4573.88,107.94,2026-06-20
pay_1de4dd2c,ORD-2207,182979.38,4318.31,2026-07-23
pay_2f8ed5b3,ORD-2208,5563.75,131.30,2026-06-15
pay_3b26cb0c,ORD-2209,4628.28,109.23,2026-08-02
pay_1656efc0,ORD-2210,5105.02,120.48,2026-06-11
pay_37a2b0f9,ORD-2211,221776.02,5233.91,2026-07-25
pay_9fae94c,ORD-2212,2389.21,56.39,2026-08-20
pay_1571cb12,ORD-2213,5328.71,125.76,2026-08-07
pay_307af036,ORD-2214,9811.28,231.55,2026-07-24
pay_296d1ac6,ORD-2215,2867.27,67.67,2026-08-06
pay_35c9e9fd,ORD-2216,2240.97,52.89,2026-07-19
pay_3756284b,ORD-2217,3798.23,89.64,2026-08-20
pay_112a8a01,ORD-2218,2085.35,49.21,2026-07-16
pay_37a2fb7b,ORD-2219,21229.95,501.03,2026-06-11
pay_19ce2985,ORD-2220,1397.61,32.98,2026-06-07
pay_18458513,ORD-2221,5732.42,135.29,2026-08-22
pay_35883b7b,ORD-2222,4097.04,96.69,2026-07-27
pay_38fcb155,ORD-2223,199240.65,4702.08,2026-08-04
pay_28deee73,ORD-2224,30919.53,729.70,2026-08-17
pay_33e41169,ORD-2225,1830.38,43.20,2026-07-30
pay_21cbf1b0,ORD-2226,5847.10,137.99,2026-07-18
pay_393b090f,ORD-2227,3368.81,79.50,2026-07-19
pay_e0a0818,ORD-2228,3234.08,76.32,2026-07-27
pay_fc7cf4f,ORD-2229,23989.34,566.15,2026-06-07
pay_27d88cb6,ORD-2230,20261.69,478.18,2026-08-13
pay_27189e10,ORD-2231,1010.52,23.85,2026-06-25
pay_183cc53a,ORD-2232,77802.84,1836.15,2026-06-30
pay_39d553d0,ORD-2233,58903.20,1390.12,2026-07-27
pay_188b2ca8,ORD-2234,19190.81,452.90,2026-08-12
pay_38a7153a,ORD-2235,63156.68,1490.50,2026-06-16
pay_39651294,ORD-2236,2993.10,70.64,2026-07-19
pay_2040589c,ORD-2237,2291.72,54.08,2026-08-03
pay_23c6170c,ORD-2238,1926.62,45.47,2026-06-11
pay_119b29b5,ORD-2239,83519.72,1971.07,2026-08-23
pay_10538bac,ORD-2240,63857.66,1507.04,2026-07-09
pay_15ffcbdf,ORD-2241,203779.56,4809.20,2026-07-07
pay_bf09c20,ORD-2242,3312.60,78.18,2026-08-20
pay_3414b9e1,ORD-2243,130838.85,3087.80,2026-08-26
pay_2f0374f3,ORD-2244,4387.02,103.53,2026-06-11
pay_25d5bc02,ORD-2245,56244.01,1327.36,2026-08-21
pay_18ff0914,ORD-2246,21093.76,497.81,2026-08-28
pay_1bbb980b,ORD-2247,2370.30,55.94,2026-07-30
pay_36a49d38,ORD-2248,89558.30,2113.58,2026-07-22
pay_15d3c82b,ORD-2249,2599.13,61.34,2026-07-06
pay_102e65ef,ORD-2250,272832.77,6438.85,2026-07-24
pay_25e18ed2,ORD-2251,62369.92,1471.93,2026-08-06
pay_2b4b638b,ORD-2252,201088.89,4745.70,2026-07-01
pay_2413f950,ORD-2253,22646.79,534.46,2026-08-25
pay_1d616580,ORD-2254,22649.11,534.52,2026-07-18
pay_1eafd169,ORD-2255,12250.48,289.11,2026-07-07
pay_d907a8a,ORD-2256,4950.91,116.84,2026-08-29
pay_36473a71,ORD-2257,24735.75,583.76,2026-08-12
pay_33a15e22,ORD-2258,5805.10,137.00,2026-06-05
pay_1af34577,ORD-2259,17125.21,404.15,2026-08-05
pay_1b7d0584,ORD-2260,247863.87,5849.59,2026-07-11
pay_1d890da1,ORD-2261,16258.49,383.70,2026-07-31
pay_7aa7744,ORD-2262,20935.10,494.07,2026-08-30
pay_10df8c6c,ORD-2263,19428.00,458.50,2026-08-15
pay_7fb2151,ORD-2264,53514.28,1262.94,2026-08-27
pay_2063d13e,ORD-2265,2484.67,58.64,2026-07-24
pay_ecc38e9,ORD-2266,274563.54,6479.70,2026-06-10
pay_110b4cbd,ORD-2267,195674.20,4617.91,2026-07-20
pay_3964ec07,ORD-2268,20439.80,482.38,2026-08-29
pay_1901fef1,ORD-2269,155801.28,3676.91,2026-07-09
pay_dc2aa0b,ORD-2270,2069.61,48.84,2026-07-07
pay_188ca7bf,ORD-2271,54589.93,1288.32,2026-07-15
pay_249f1d14,ORD-2272,2490.69,58.78,2026-07-05
pay_cf3727d,ORD-2273,3029.08,71.49,2026-07-05
pay_2ec9f679,ORD-2274,3514.25,82.94,2026-08-07
pay_64ac588,ORD-2275,2625.82,61.97,2026-08-27
pay_2f984e09,ORD-2276,23700.64,559.34,2026-08-01
pay_2ab47ad7,ORD-2277,3406.54,80.39,2026-06-14
pay_3b7a3b68,ORD-2278,38129.86,899.86,2026-06-23
pay_68db650,ORD-2279,292426.28,6901.26,2026-07-08
pay_28bb5065,ORD-2280,167008.42,3941.40,2026-07-31
pay_1b1fcea6,ORD-2281,60101.56,1418.40,2026-06-25
pay_2a4c680c,ORD-2282,26056.31,614.93,2026-07-15
pay_26f03cbd,ORD-2283,17774.52,419.48,2026-07-23
pay_665c89c,ORD-2284,1132.75,26.73,2026-07-12
pay_34399612,ORD-2285,96552.61,2278.64,2026-07-11
pay_19989812,ORD-2286,6242.49,147.32,2026-06-17
pay_d799e51,ORD-2287,277560.28,6550.42,2026-07-12
pay_fc3abd4,ORD-2288,9382.57,221.43,2026-06-19
pay_3949c3ca,ORD-2289,19038.81,449.32,2026-08-02
pay_228d65d3,ORD-2290,16916.29,399.22,2026-06-13
pay_12e603fc,ORD-2291,33415.66,788.61,2026-08-12
pay_131b2d47,ORD-2292,2841.54,67.06,2026-06-17
pay_208c31f3,ORD-2293,6112.72,144.26,2026-06-19
pay_163ee7ed,ORD-2294,21138.31,498.86,2026-06-04
pay_28984d3c,ORD-2295,2406.64,56.80,2026-08-29
pay_34a28edf,ORD-2296,2339.90,55.22,2026-06-20
pay_b18b1dd,ORD-2297,176495.92,4165.30,2026-07-20
pay_2858526a,ORD-2298,4371.29,103.16,2026-06-16
pay_31108021,ORD-2299,81713.46,1928.44,2026-07-10
pay_179a1fc5,ORD-2300,43563.40,1028.10,2026-07-15
pay_132651fa,ORD-2301,56443.04,1332.06,2026-06-03
pay_355ae76a,ORD-2302,18440.47,435.20,2026-06-07
pay_2635b55c,ORD-2303,20087.71,474.07,2026-06-08
pay_151f508a,ORD-2304,3190.63,75.30,2026-08-27
pay_2bd3c0c4,ORD-2305,1852.25,43.71,2026-06-10
pay_30ed27a3,ORD-2306,5937.68,140.13,2026-07-17
pay_11ba8d54,ORD-2307,13165.18,310.70,2026-07-10
pay_29f402a7,ORD-2308,3684.10,86.94,2026-07-30
pay_1b18e861,ORD-2309,12768.38,301.33,2026-07-03
pay_17245a80,ORD-2310,31934.80,753.66,2026-06-25
pay_30eeec9f,ORD-2311,827.53,19.53,2026-08-17
pay_121f3a23,ORD-2312,49972.32,1179.35,2026-06-02
pay_154713cb,ORD-2313,77171.97,1821.26,2026-06-28
pay_16b34dfd,ORD-2314,15673.00,369.88,2026-07-17
pay_12f5eb70,ORD-2315,21056.33,496.93,2026-08-01
pay_16a666e5,ORD-2316,9425.48,222.44,2026-06-19
pay_2a6d4f6f,ORD-2317,1382.86,32.64,2026-07-01
pay_255bcc03,ORD-2318,4197.16,99.05,2026-08-24
pay_28a83fc0,ORD-2319,3741.41,88.30,2026-08-02
pay_36e0ce7c,ORD-2320,4310.14,101.72,2026-08-25
pay_23252424,ORD-2321,1179.63,27.84,2026-06-30
pay_2805a5f1,ORD-2322,74446.33,1756.93,2026-06-03
pay_261a2fb0,ORD-2323,10494.81,247.68,2026-07-07
pay_123e7e64,ORD-2324,933.41,22.03,2026-06-20
pay_23561914,ORD-2325,2286.03,53.95,2026-07-19
pay_2f8dbfe2,ORD-2326,4226.28,99.74,2026-06-13
pay_32f14b3c,ORD-2327,14520.10,342.67,2026-08-21
pay_8af0c04,ORD-2328,11625.41,274.36,2026-06-15
pay_17e782a2,ORD-2329,5931.24,139.98,2026-06-12
pay_2b87e0e7,ORD-2330,4326.92,102.12,2026-06-03
pay_2a3a9ff0,ORD-2331,159855.38,3772.59,2026-08-12
pay_344e9329,ORD-2332,3900.24,92.05,2026-06-20
pay_2cb0f6aa,ORD-2333,2466.90,58.22,2026-06-11
pay_381b8816,ORD-2334,165275.33,3900.50,2026-08-22
pay_2b74db5d,ORD-2335,12508.54,295.20,2026-06-26
pay_171c5529,ORD-2336,1609.02,37.97,2026-06-10
pay_64aff54,ORD-2337,48750.87,1150.52,2026-06-14
pay_299b8589,ORD-2338,892.84,21.07,2026-07-27
pay_2c3c3a7a,ORD-2339,2092.61,49.39,2026-06-14
pay_2a90e0e9,ORD-2340,6693.99,157.98,2026-08-11
pay_f4ce007,ORD-2341,1710.14,40.36,2026-07-06
pay_1611ba35,ORD-2342,14684.63,346.56,2026-06-11
pay_19756545,ORD-2343,8910.96,210.30,2026-06-14
pay_1b623279,ORD-2344,53491.75,1262.41,2026-07-14
pay_249df97a,ORD-2345,1942.99,45.85,2026-08-28
pay_25628aea,ORD-2346,158289.63,3735.64,2026-08-30
pay_d3fd126,ORD-2347,21329.89,503.39,2026-07-22
pay_238118ef,ORD-2348,3954.28,93.32,2026-06-06
pay_25ea767b,ORD-2349,30186.90,712.41,2026-07-25
pay_ab1b940,ORD-2350,1193.64,28.17,2026-07-26
pay_28c0f642,ORD-2351,15132.25,357.12,2026-08-29
pay_b663913,ORD-2352,85922.27,2027.77,2026-08-18
pay_31519415,ORD-2353,3257.05,76.87,2026-08-14
pay_16850c67,ORD-2354,186091.11,4391.75,2026-06-02
pay_1de77434,ORD-2355,18753.29,442.58,2026-06-30
pay_ca6d0cc,ORD-2356,8014.90,189.15,2026-06-05
pay_19ebe3ee,ORD-2357,4733.04,111.70,2026-06-20
pay_342b0712,ORD-2358,11966.01,282.40,2026-06-14
pay_2f6e37d5,ORD-2359,3698.51,87.28,2026-06-04
pay_2948608f,ORD-2360,248097.90,5855.11,2026-08-06
pay_11c3efd0,ORD-2361,146371.11,3454.36,2026-07-24
pay_2bdc8914,ORD-2362,19747.77,466.05,2026-06-27
pay_c78fc01,ORD-2363,3885.46,91.70,2026-06-11
pay_27bbf630,ORD-2364,1012.80,23.90,2026-08-26
pay_2343777b,ORD-2365,16740.09,395.07,2026-07-16
pay_1a011d3b,ORD-2366,69262.63,1634.60,2026-08-26
pay_20ba4ef2,ORD-2367,3620.46,85.44,2026-08-06
pay_2f41d1fb,ORD-2368,14733.40,347.71,2026-08-10
pay_9643eea,ORD-2369,1341.94,31.67,2026-07-30
pay_2fc1c61f,ORD-2370,4168.47,98.38,2026-08-13
pay_b405abd,ORD-2371,21797.84,514.43,2026-08-02
pay_10b9d091,ORD-2372,1736.84,40.99,2026-08-09
pay_379154ac,ORD-2373,7264.22,171.44,2026-06-16
pay_13f2784d,ORD-2374,20135.72,475.20,2026-07-29
pay_1c44f6ca,ORD-2375,4996.91,117.93,2026-07-29
pay_1c669d54,ORD-2376,42770.95,1009.39,2026-08-17
pay_2a71fa1f,ORD-2377,20696.99,488.45,2026-06-27
pay_2a9d9424,ORD-2378,11473.07,270.76,2026-07-09
pay_35f76bd6,ORD-2379,235859.86,5566.29,2026-06-13
pay_1a931c84,ORD-2380,34951.81,824.86,2026-06-21
pay_20788af5,ORD-2381,16548.51,390.54,2026-07-07
pay_230f9cc0,ORD-2382,19996.05,471.91,2026-08-29
pay_234d1c8a,ORD-2383,88537.55,2089.49,2026-06-14
pay_217526c6,ORD-2384,84675.84,1998.35,2026-07-21
pay_2a318d19,ORD-2385,50331.64,1187.83,2026-08-13
pay_de96178,ORD-2386,3317.81,78.30,2026-07-29
pay_2f8f6eda,ORD-2387,185559.86,4379.21,2026-08-28
pay_307d30f1,ORD-2388,2121.96,50.08,2026-06-12
pay_2fe95950,ORD-2389,19519.77,460.67,2026-07-01
pay_2734741c,ORD-2390,850.72,20.08,2026-08-15
pay_e6b6fc3,ORD-2391,21342.18,503.68,2026-07-27
pay_1d7c0270,ORD-2392,4126.81,97.39,2026-06-15
pay_2a02d799,ORD-2393,18542.74,437.61,2026-06-11
pay_fa5fe1f,ORD-2394,19448.64,458.99,2026-08-22
pay_361df2ce,ORD-2395,31501.60,743.44,2026-06-13
pay_17afb78b,ORD-2396,13587.77,320.67,2026-06-18
pay_7ad5eb2,ORD-2397,19423.59,458.40,2026-07-09
pay_973f084,ORD-2398,19956.87,470.98,2026-07-10
pay_6bb95b5,ORD-2399,3371.37,79.56,2026-06-12
pay_31ab3391,ORD-2400,67628.53,1596.03,2026-07-19
pay_88266f4,ORD-2401,803.90,18.97,2026-07-04
pay_2111bc4b,ORD-2402,17571.41,414.69,2026-08-05
pay_b049171,ORD-2403,8053.61,190.07,2026-06-12
pay_2f1f52cd,ORD-2404,3138.97,74.08,2026-08-25
pay_b7a63a9,ORD-2405,88485.11,2088.25,2026-06-08
pay_1133a950,ORD-2406,11185.80,263.98,2026-08-26
pay_27100ed3,ORD-2407,37287.45,879.98,2026-07-17
pay_1b66b314,ORD-2408,90509.50,2136.02,2026-06-16
pay_25b6c2be,ORD-2409,4887.73,115.35,2026-08-20
pay_1649b365,ORD-2410,16337.72,385.57,2026-07-18
pay_8e73d81,ORD-2411,25192.64,594.55,2026-06-02
pay_395c1f78,ORD-2412,4821.54,113.79,2026-06-07
pay_3ad30384,ORD-2413,4621.35,109.06,2026-07-12
pay_3970272c,ORD-2414,23038.82,543.72,2026-06-23
pay_b7d3821,ORD-2415,89952.42,2122.88,2026-07-11
pay_2dd07b99,ORD-2416,3037.13,71.68,2026-07-11
pay_28f0b49e,ORD-2417,299557.42,7069.56,2026-06-28
pay_6931490,ORD-2418,2936.95,69.31,2026-08-23
pay_27de5c00,ORD-2419,79541.13,1877.17,2026-06-14
pay_8c5240d,ORD-2420,128474.70,3032.00,2026-07-06
pay_c13d001,ORD-2421,52936.90,1249.31,2026-06-13
pay_e53674c,ORD-2422,3055.19,72.10,2026-07-28
pay_22efdd10,ORD-2423,178590.53,4214.74,2026-07-13
pay_cb8f9ba,ORD-2424,3965.66,93.59,2026-06-14
pay_19b13149,ORD-2425,15718.49,370.96,2026-06-28
pay_328f871b,ORD-2426,4134.19,97.57,2026-07-11
pay_26d266f8,ORD-2427,3700.21,87.32,2026-07-17
pay_298aa010,ORD-2428,38040.08,897.75,2026-07-23
