invoice_id,order_ref,amount,customer,due_date,status
INV-2034,ORD-2034,1911.22,Ravi Traders,2026-06-07,paid
INV-2035,ORD-2035,2785.23,Falcon Electricals,2026-06-24,paid
INV-2036,ORD-2036,23831.92,Harit Agro,2026-08-12,paid
INV-2037,ORD-2037,16673.45,Chetak Logistics,2026-08-06,paid
INV-2038,ORD-2038,2281.04,Kavya Interiors,2026-08-25,paid
INV-2039,ORD-2039,3295.22,Chetak Logistics,2026-08-12,paid
INV-2040,ORD-2040,2070.54,Indus Apparel,2026-06-09,paid
INV-2041,ORD-2041,70875.83,Ravi Traders,2026-08-23,paid
INV-2042,ORD-2042,120717.30,Jyoti Enterprises,2026-06-18,paid
INV-2043,ORD-2043,3221.73,Everest Hardware,2026-07-14,paid
INV-2044,ORD-2044,88457.78,Indus Apparel,2026-06-12,paid
INV-2045,ORD-2045,72783.50,Kavya Interiors,2026-07-04,paid
INV-2046,ORD-2046,7237.48,Nakshatra Gems,2026-08-28,paid
INV-2047,ORD-2047,13595.73,Shanti Sweets,2026-06-06,paid
INV-2048,ORD-2048,12073.57,Harit Agro,2026-08-11,paid
INV-2049,ORD-2049,262154.34,Falcon Electricals,2026-07-23,paid
INV-2050,ORD-2050,89804.80,Nakshatra Gems,2026-07-02,paid
INV-2051,ORD-2051,41682.53,Bansal Traders,2026-07-29,paid
INV-2052,ORD-2052,10572.06,Ganga Stationers,2026-06-09,paid
INV-2053,ORD-2053,624.20,Ravi Traders,2026-07-04,paid
INV-2054,ORD-2054,19570.90,Tarun Auto Parts,2026-07-11,paid
INV-2055,ORD-2055,699.74,Shanti Sweets,2026-07-26,paid
INV-2056,ORD-2056,6399.48,Ganga Stationers,2026-08-25,paid
INV-2057,ORD-2057,47524.17,Devika Foods,2026-07-10,paid
INV-2058,ORD-2058,8836.80,Jyoti Enterprises,2026-08-25,paid
INV-2059,ORD-2059,21674.50,Jyoti Enterprises,2026-07-09,paid
INV-2060,ORD-2060,14299.76,Tarun Auto Parts,2026-07-27,paid
INV-2061,ORD-2061,10675.73,Falcon Electricals,2026-08-24,paid
INV-2062,ORD-2062,9492.81,Harit Agro,2026-06-26,paid
INV-2063,ORD-2063,20369.79,Prakash Paints,2026-07-29,paid
INV-2064,ORD-2064,9879.69,Meera Motors,2026-08-23,paid
INV-2065,ORD-2065,4810.85,Harit Agro,2026-08-06,paid
INV-2066,ORD-2066,21028.33,Devika Foods,2026-08-25,paid
INV-2067,ORD-2067,19385.48,Omkar Furnishings,2026-08-04,paid
INV-2068,ORD-2068,60600.58,Falcon Electricals,2026-07-04,paid
INV-2069,ORD-2069,9784.92,Quantum Solutions,2026-07-27,paid
INV-2070,ORD-2070,2930.69,Kavya Interiors,2026-06-18,paid
INV-2071,ORD-2071,2334.20,Ganga Stationers,2026-08-09,paid
INV-2072,ORD-2072,20395.92,Nakshatra Gems,2026-08-29,paid
INV-2073,ORD-2073,159722.53,Aarav Textiles,2026-07-20,paid
INV-2074,ORD-2074,10458.71,Harit Agro,2026-08-02,paid
INV-2075,ORD-2075,88037.92,Meera Motors,2026-06-17,paid
INV-2076,ORD-2076,6678.95,Shanti Sweets,2026-07-25,paid
INV-2077,ORD-2077,2546.15,Meera Motors,2026-07-14,paid
INV-2078,ORD-2078,19980.49,Chetak Logistics,2026-06-07,paid
INV-2079,ORD-2079,96220.88,Bansal Traders,2026-06-26,paid
INV-2080,ORD-2080,16279.39,Prakash Paints,2026-06-28,paid
INV-2081,ORD-2081,24274.69,Falcon Electricals,2026-06-15,paid
INV-2082,ORD-2082,23160.52,Jyoti Enterprises,2026-07-19,paid
INV-2083,ORD-2083,3976.16,Harit Agro,2026-08-27,paid
INV-2084,ORD-2084,51040.28,Shanti Sweets,2026-07-25,paid
INV-2085,ORD-2085,2390.26,Kavya Interiors,2026-08-02,paid
INV-2086,ORD-2086,57661.54,Omkar Furnishings,2026-08-06,paid
INV-2087,ORD-2087,59865.53,Ravi Traders,2026-08-15,paid
INV-2088,ORD-2088,2528.61,Chetak Logistics,2026-07-30,paid
INV-2089,ORD-2089,11500.28,Aarav Textiles,2026-08-02,paid
INV-2090,ORD-2090,45720.14,Tarun Auto Parts,2026-06-02,paid
INV-2091,ORD-2091,20163.29,Nakshatra Gems,2026-08-28,paid
INV-2092,ORD-2092,1497.18,Aarav Textiles,2026-08-28,paid
INV-2093,ORD-2093,11875.15,Prakash Paints,2026-08-10,paid
INV-2094,ORD-2094,3745.78,Indus Apparel,2026-07-11,paid
INV-2095,ORD-2095,3823.72,Falcon Electricals,2026-07-06,paid
INV-2096,ORD-2096,47218.48,Devika Foods,2026-07-17,paid
INV-2097,ORD-2097,4884.33,Everest Hardware,2026-08-10,paid
INV-2098,ORD-2098,555.19,Prakash Paints,2026-07-07,paid
INV-2099,ORD-2099,4377.75,Bansal Traders,2026-06-15,paid
INV-2100,ORD-2100,4150.14,Bansal Traders,2026-07-09,paid
INV-2101,ORD-2101,20814.82,Nakshatra Gems,2026-06-29,paid
INV-2102,ORD-2102,161076.05,Shanti Sweets,2026-08-19,paid
INV-2103,ORD-2103,10292.92,Ganga Stationers,2026-06-11,paid
INV-2104,ORD-2104,2527.27,Falcon Electricals,2026-08-16,paid
INV-2105,ORD-2105,59052.35,Jyoti Enterprises,2026-08-27,paid
INV-2106,ORD-2106,15891.25,Ganga Stationers,2026-08-22,paid
INV-2107,ORD-2107,69628.30,Falcon Electricals,2026-08-12,paid
INV-2108,ORD-2108,23853.52,Jyoti Enterprises,2026-08-04,paid
INV-2109,ORD-2109,80090.04,Bansal Traders,2026-08-17,paid
INV-2110,ORD-2110,5414.91,Shanti Sweets,2026-08-26,paid
INV-2111,ORD-2111,18030.19,Falcon Electricals,2026-07-06,paid
INV-2112,ORD-2112,194002.08,Prakash Paints,2026-07-23,paid
INV-2113,ORD-2113,3621.53,Falcon Electricals,2026-07-07,paid
INV-2114,ORD-2114,1954.73,Chetak Logistics,2026-07-22,paid
INV-2115,ORD-2115,6084.08,Ravi Traders,2026-08-06,paid
INV-2116,ORD-2116,2971.49,Bansal Traders,2026-07-07,paid
INV-2117,ORD-2117,78233.71,Tarun Auto Parts,2026-07-10,paid
INV-2118,ORD-2118,282585.98,Harit Agro,2026-07-30,paid
INV-2119,ORD-2119,10468.50,Jyoti Enterprises,2026-08-01,paid
INV-2120,ORD-2120,3197.20,Meera Motors,2026-06-18,paid
INV-2121,ORD-2121,511.54,Quantum Solutions,2026-07-09,paid
INV-2122,ORD-2122,14686.83,Everest Hardware,2026-07-13,paid
INV-2123,ORD-2123,98558.10,Kavya Interiors,2026-07-01,paid
INV-2124,ORD-2124,77892.09,Kavya Interiors,2026-07-19,paid
INV-2125,ORD-2125,4844.09,Bansal Traders,2026-07-13,paid
INV-2126,ORD-2126,1148.70,Omkar Furnishings,2026-08-23,paid
INV-2127,ORD-2127,3617.17,Indus Apparel,2026-08-23,paid
INV-2128,ORD-2128,22748.77,Kavya Interiors,2026-08-02,paid
INV-2129,ORD-2129,249353.27,Jyoti Enterprises,2026-07-26,paid
INV-2130,ORD-2130,18880.02,Devika Foods,2026-06-04,paid
INV-2131,ORD-2131,9883.95,Lotus Bakery,2026-07-23,paid
INV-2132,ORD-2132,12650.89,Chetak Logistics,2026-08-27,paid
INV-2133,ORD-2133,14191.41,Omkar Furnishings,2026-08-25,paid
INV-2134,ORD-2134,4753.56,Falcon Electricals,2026-08-15,paid
INV-2135,ORD-2135,39941.27,Omkar Furnishings,2026-07-20,paid
INV-2136,ORD-2136,24853.84,Lotus Bakery,2026-07-08,paid
INV-2137,ORD-2137,18715.99,Aarav Textiles,2026-06-07,paid
INV-2138,ORD-2138,42258.88,Jyoti Enterprises,2026-07-16,paid
INV-2139,ORD-2139,23068.07,Everest Hardware,2026-08-22,paid
INV-2140,ORD-2140,31760.00,Lotus Bakery,2026-07-08,paid
INV-2141,ORD-2141,90734.54,Everest Hardware,2026-07-17,paid
INV-2142,ORD-2142,95814.09,Indus Apparel,2026-07-08,paid
INV-2144,ORD-2144,20813.64,Ravi Traders,2026-06-02,paid
INV-2145,ORD-2145,21448.35,Indus Apparel,2026-07-18,paid
INV-2146,ORD-2146,67105.55,Tarun Auto Parts,2026-08-18,paid
INV-2147,ORD-2147,47664.26,Omkar Furnishings,2026-07-23,paid
INV-2148,ORD-2148,123224.10,Jyoti Enterprises,2026-07-01,paid
INV-2149,ORD-2149,19845.38,Ravi Traders,2026-06-20,paid
INV-2150,ORD-2150,24030.43,Tarun Auto Parts,2026-06-05,paid
INV-2151,ORD-2151,32451.60,Harit Agro,2026-08-27,paid
INV-2152,ORD-2152,4856.93,Meera Motors,2026-07-29,paid
INV-2153,ORD-2153,110115.70,Tarun Auto Parts,2026-07-13,paid
INV-2154,ORD-2154,1471.78,Ravi Traders,2026-06-30,paid
INV-2155,ORD-2155,4362.83,Tarun Auto Parts,2026-06-19,paid
INV-2156,ORD-2156,5515.60,Devika Foods,2026-06-02,paid
INV-2157,ORD-2157,735.80,Aarav Textiles,2026-07-24,paid
INV-2158,ORD-2158,7181.08,Lotus Bakery,2026-08-04,paid
INV-2159,ORD-2159,3395.03,Quantum Solutions,2026-06-04,paid
INV-2160,ORD-2160,23194.02,Devika Foods,2026-06-10,paid
INV-2161,ORD-2161,3348.85,Everest Hardware,2026-08-10,paid
INV-2162,ORD-2162,17108.54,Jyoti Enterprises,2026-06-13,paid
INV-2163,ORD-2163,41126.73,Ravi Traders,2026-07-28,paid
INV-2164,ORD-2164,6901.72,Meera Motors,2026-07-25,paid
INV-2165,ORD-2165,14485.36,Everest Hardware,2026-06-12,paid
INV-2166,ORD-2166,66727.81,Lotus Bakery,2026-08-15,paid
INV-2167,ORD-2167,18306.81,Nakshatra Gems,2026-07-25,paid
INV-2168,ORD-2168,2783.36,Lotus Bakery,2026-06-20,paid
INV-2169,ORD-2169,20252.11,Ravi Traders,2026-08-13,paid
INV-2170,ORD-2170,17853.98,Tarun Auto Parts,2026-06-04,paid
INV-2171,ORD-2171,48173.85,Indus Apparel,2026-07-14,paid
INV-2172,ORD-2172,3834.36,Meera Motors,2026-06-04,paid
INV-2173,ORD-2173,8148.19,Nakshatra Gems,2026-07-10,paid
INV-2174,ORD-2174,3894.96,Bansal Traders,2026-06-07,paid
INV-2175,ORD-2175,13840.88,Nakshatra Gems,2026-07-05,paid
INV-2176,ORD-2176,3551.98,Nakshatra Gems,2026-08-15,paid
INV-2177,ORD-2177,16986.50,Harit Agro,2026-06-01,paid
INV-2178,ORD-2178,1039.93,Indus Apparel,2026-08-03,paid
INV-2179,ORD-2179,62519.68,Ravi Traders,2026-08-25,paid
INV-2180,ORD-2180,6557.25,Aarav Textiles,2026-07-11,paid
INV-2181,ORD-2181,2322.65,Nakshatra Gems,2026-07-12,paid
INV-2182,ORD-2182,4300.18,Lotus Bakery,2026-07-02,paid
INV-2183,ORD-2183,80935.36,Meera Motors,2026-06-29,paid
INV-2184,ORD-2184,8878.07,Devika Foods,2026-07-15,paid
INV-2185,ORD-2185,1651.86,Harit Agro,2026-06-23,paid
INV-2186,ORD-2186,16274.71,Prakash Paints,2026-08-14,paid
INV-2187,ORD-2187,4869.38,Tarun Auto Parts,2026-07-11,paid
INV-2188,ORD-2188,69356.48,Jyoti Enterprises,2026-07-16,paid
INV-2189,ORD-2189,4242.63,Bansal Traders,2026-06-10,paid
INV-2190,ORD-2190,16086.33,Meera Motors,2026-06-06,paid
INV-2191,ORD-2191,15027.35,Kavya Interiors,2026-06-08,paid
INV-2192,ORD-2192,3684.30,Falcon Electricals,2026-07-27,paid
INV-2193,ORD-2193,54056.24,Lotus Bakery,2026-07-14,paid
INV-2194,ORD-2194,925.28,Kavya Interiors,2026-08-26,paid
INV-2195,ORD-2195,50002.15,Tarun Auto Parts,2026-08-14,paid
INV-2196,ORD-2196,3689.75,Meera Motors,2026-06-11,paid
INV-2197,ORD-2197,75258.73,Kavya Interiors,2026-08-27,paid
INV-2198,ORD-2198,12251.95,Quantum Solutions,2026-06-24,paid
INV-2199,ORD-2199,1831.06,Everest Hardware,2026-06-13,paid
INV-2200,ORD-2200,2015.44,Quantum Solutions,2026-08-19,paid
INV-2201,ORD-2201,82832.34,Falcon Electricals,2026-06-22,paid
INV-2202,ORD-2202,222119.08,Harit Agro,2026-07-28,paid
INV-2203,ORD-2203,39551.21,Prakash Paints,2026-08-26,paid
INV-2204,ORD-2204,13373.22,Meera Motors,2026-06-21,paid
INV-2205,ORD-2205,2662.66,Indus Apparel,2026-07-18,paid
INV-2206,ORD-2206,4573.88,Falcon Electricals,2026-06-19,paid
INV-2207,ORD-2207,182979.38,Lotus Bakery,2026-07-21,paid
INV-2208,ORD-2208,5563.75,Chetak Logistics,2026-06-13,paid
INV-2209,ORD-2209,4628.28,Everest Hardware,2026-07-31,paid
INV-2210,ORD-2210,5105.02,Prakash Paints,2026-06-11,paid
INV-2211,ORD-2211,221776.02,Ravi Traders,2026-07-25,paid
INV-2212,ORD-2212,2389.21,Devika Foods,2026-08-19,paid
INV-2213,ORD-2213,5328.71,Prakash Paints,2026-08-05,paid
INV-2214,ORD-2214,9811.28,Aarav Textiles,2026-07-24,paid
INV-2215,ORD-2215,2867.27,Lotus Bakery,2026-08-04,paid
INV-2216,ORD-2216,2240.97,Prakash Paints,2026-07-18,paid
INV-2217,ORD-2217,3798.23,Chetak Logistics,2026-08-20,paid
INV-2218,ORD-2218,2085.35,Kavya Interiors,2026-07-14,paid
INV-2219,ORD-2219,21229.95,Prakash Paints,2026-06-09,paid
INV-2220,ORD-2220,1397.61,Ganga Stationers,2026-06-06,paid
INV-2221,ORD-2221,5732.42,Ravi Traders,2026-08-22,paid
INV-2222,ORD-2222,4097.04,Kavya Interiors,2026-07-26,paid
INV-2223,ORD-2223,199240.65,Kavya Interiors,2026-08-03,paid
INV-2224,ORD-2224,30919.53,Chetak Logistics,2026-08-17,paid
INV-2225,ORD-2225,1830.38,Chetak Logistics,2026-07-28,paid
INV-2226,ORD-2226,5847.10,Omkar Furnishings,2026-07-16,paid
INV-2227,ORD-2227,3368.81,Bansal Traders,2026-07-17,paid
INV-2228,ORD-2228,3234.08,Aarav Textiles,2026-07-27,paid
INV-2229,ORD-2229,23989.34,Lotus Bakery,2026-06-05,paid
INV-2230,ORD-2230,20261.69,Lotus Bakery,2026-08-13,paid
INV-2231,ORD-2231,1010.52,Indus Apparel,2026-06-24,paid
INV-2232,ORD-2232,77802.84,Indus Apparel,2026-06-28,paid
INV-2234,ORD-2234,19190.81,Kavya Interiors,2026-08-10,paid
INV-2235,ORD-2235,63156.68,Falcon Electricals,2026-06-16,paid
INV-2236,ORD-2236,2993.10,Prakash Paints,2026-07-18,paid
INV-2237,ORD-2237,2291.72,Chetak Logistics,2026-08-01,paid
INV-2238,ORD-2238,1926.62,Chetak Logistics,2026-06-10,paid
INV-2239,ORD-2239,83519.72,Everest Hardware,2026-08-21,paid
INV-2240,ORD-2240,63857.66,Bansal Traders,2026-07-09,paid
INV-2241,ORD-2241,203779.56,Lotus Bakery,2026-07-07,paid
INV-2242,ORD-2242,3312.60,Ravi Traders,2026-08-18,paid
INV-2243,ORD-2243,130838.85,Shanti Sweets,2026-08-24,paid
INV-2244,ORD-2244,4387.02,Shanti Sweets,2026-06-11,paid
INV-2245,ORD-2245,56244.01,Ganga Stationers,2026-08-21,paid
INV-2246,ORD-2246,21093.76,Jyoti Enterprises,2026-08-27,paid
INV-2247,ORD-2247,2370.30,Bansal Traders,2026-07-30,paid
INV-2248,ORD-2248,89558.30,Kavya Interiors,2026-07-22,paid
INV-2249,ORD-2249,2599.13,Devika Foods,2026-07-05,paid
INV-2250,ORD-2250,272832.77,Jyoti Enterprises,2026-07-24,paid
INV-2251,ORD-2251,62369.92,Ganga Stationers,2026-08-05,paid
INV-2252,ORD-2252,201088.89,Chetak Logistics,2026-07-01,paid
INV-2253,ORD-2253,22646.79,Jyoti Enterprises,2026-08-23,paid
INV-2254,ORD-2254,22649.11,Devika Foods,2026-07-17,paid
INV-2255,ORD-2255,12250.48,Shanti Sweets,2026-07-07,paid
INV-2257,ORD-2257,24735.75,Meera Motors,2026-08-11,paid
INV-2258,ORD-2258,5805.10,Quantum Solutions,2026-06-05,paid
INV-2259,ORD-2259,17125.21,Quantum Solutions,2026-08-05,paid
INV-2260,ORD-2260,247863.87,Meera Motors,2026-07-09,paid
INV-2261,ORD-2261,16258.49,Ravi Traders,2026-07-31,paid
INV-2262,ORD-2262,20935.10,Nakshatra Gems,2026-08-28,paid
INV-2263,ORD-2263,19428.00,Shanti Sweets,2026-08-14,paid
INV-2264,ORD-2264,53514.28,Tarun Auto Parts,2026-08-27,paid
INV-2265,ORD-2265,2484.67,Devika Foods,2026-07-24,paid
INV-2266,ORD-2266,274563.54,Tarun Auto Parts,2026-06-08,paid
INV-2267,ORD-2267,195674.20,Kavya Interiors,2026-07-19,paid
INV-2268,ORD-2268,20439.80,Ravi Traders,2026-08-27,paid
INV-2269,ORD-2269,155801.28,Ganga Stationers,2026-07-09,paid
INV-2270,ORD-2270,2069.61,Prakash Paints,2026-07-06,paid
INV-2271,ORD-2271,54589.93,Meera Motors,2026-07-15,paid
INV-2272,ORD-2272,2490.69,Chetak Logistics,2026-07-03,paid
INV-2273,ORD-2273,3029.08,Ravi Traders,2026-07-05,paid
INV-2274,ORD-2274,3514.25,Harit Agro,2026-08-07,paid
INV-2276,ORD-2276,23700.64,Falcon Electricals,2026-07-31,paid
INV-2277,ORD-2277,3406.54,Jyoti Enterprises,2026-06-12,paid
INV-2278,ORD-2278,38129.86,Bansal Traders,2026-06-23,paid
INV-2279,ORD-2279,292426.28,Falcon Electricals,2026-07-08,paid
INV-2280,ORD-2280,167008.42,Devika Foods,2026-07-29,paid
INV-2281,ORD-2281,60101.56,Everest Hardware,2026-06-25,paid
INV-2282,ORD-2282,26056.31,Indus Apparel,2026-07-14,paid
INV-2283,ORD-2283,17774.52,Falcon Electricals,2026-07-22,paid
INV-2284,ORD-2284,1132.75,Devika Foods,2026-07-12,paid
INV-2285,ORD-2285,96552.61,Omkar Furnishings,2026-07-09,paid
INV-2286,ORD-2286,6242.49,Lotus Bakery,2026-06-16,paid
INV-2287,ORD-2287,277560.28,Quantum Solutions,2026-07-10,paid
INV-2288,ORD-2288,9382.57,Lotus Bakery,2026-06-18,paid
INV-2289,ORD-2289,19038.81,Tarun Auto Parts,2026-07-31,paid
INV-2290,ORD-2290,16916.29,Harit Agro,2026-06-11,paid
INV-2291,ORD-2291,33415.66,Chetak Logistics,2026-08-10,paid
INV-2292,ORD-2292,2841.54,Falcon Electricals,2026-06-15,paid
INV-2293,ORD-2293,6112.72,Quantum Solutions,2026-06-17,paid
INV-2294,ORD-2294,21138.31,Ravi Traders,2026-06-03,paid
INV-2295,ORD-2295,2406.64,Shanti Sweets,2026-08-29,paid
INV-2298,ORD-2298,4371.29,Ravi Traders,2026-06-16,paid
INV-2299,ORD-2299,81713.46,Harit Agro,2026-07-09,paid
INV-2300,ORD-2300,43563.40,Meera Motors,2026-07-15,paid
INV-2301,ORD-2301,56443.04,Bansal Traders,2026-06-03,paid
INV-2302,ORD-2302,18440.47,Bansal Traders,2026-06-07,paid
INV-2303,ORD-2303,20087.71,Harit Agro,2026-06-08,paid
INV-2304,ORD-2304,3190.63,Shanti Sweets,2026-08-26,paid
INV-2305,ORD-2305,1852.25,Quantum Solutions,2026-06-08,paid
INV-2306,ORD-2306,5937.68,Nakshatra Gems,2026-07-15,paid
INV-2307,ORD-2307,13165.18,Kavya Interiors,2026-07-09,paid
INV-2309,ORD-2309,12768.38,Ravi Traders,2026-07-03,paid
INV-2310,ORD-2310,31934.80,Omkar Furnishings,2026-06-25,paid
INV-2311,ORD-2311,827.53,Tarun Auto Parts,2026-08-15,paid
INV-2312,ORD-2312,49972.32,Ganga Stationers,2026-06-02,paid
INV-2313,ORD-2313,77171.97,Prakash Paints,2026-06-27,paid
INV-2314,ORD-2314,15673.00,Jyoti Enterprises,2026-07-16,paid
INV-2315,ORD-2315,21056.33,Prakash Paints,2026-07-31,paid
INV-2316,ORD-2316,9425.48,Bansal Traders,2026-06-19,paid
INV-2317,ORD-2317,1382.86,Nakshatra Gems,2026-06-30,paid
INV-2318,ORD-2318,4197.16,Kavya Interiors,2026-08-22,paid
INV-2319,ORD-2319,3741.41,Lotus Bakery,2026-08-02,paid
INV-2320,ORD-2320,4310.14,Quantum Solutions,2026-08-25,paid
INV-2321,ORD-2321,1179.63,Harit Agro,2026-06-28,paid
INV-2322,ORD-2322,74446.33,Tarun Auto Parts,2026-06-03,paid
INV-2323,ORD-2323,10494.81,Aarav Textiles,2026-07-07,paid
INV-2324,ORD-2324,933.41,Falcon Electricals,2026-06-20,paid
INV-2325,ORD-2325,2286.03,Lotus Bakery,2026-07-18,paid
INV-2326,ORD-2326,4226.28,Harit Agro,2026-06-11,paid
INV-2327,ORD-2327,14520.10,Meera Motors,2026-08-21,paid
INV-2328,ORD-2328,11625.41,Nakshatra Gems,2026-06-13,paid
INV-2329,ORD-2329,5931.24,Shanti Sweets,2026-06-10,paid
INV-2330,ORD-2330,4326.92,Bansal Traders,2026-06-03,paid
INV-2331,ORD-2331,159855.38,Meera Motors,2026-08-12,paid
INV-2332,ORD-2332,3900.24,Ravi Traders,2026-06-18,paid
INV-2333,ORD-2333,2466.90,Lotus Bakery,2026-06-10,paid
INV-2334,ORD-2334,165275.33,Meera Motors,2026-08-21,paid
INV-2335,ORD-2335,12508.54,Lotus Bakery,2026-06-24,paid
INV-2336,ORD-2336,1609.02,Tarun Auto Parts,2026-06-10,paid
INV-2337,ORD-2337,48750.87,Everest Hardware,2026-06-14,paid
INV-2338,ORD-2338,892.84,Indus Apparel,2026-07-26,paid
INV-2339,ORD-2339,2092.61,Devika Foods,2026-06-12,paid
INV-2340,ORD-2340,6693.99,Nakshatra Gems,2026-08-11,paid
INV-2341,ORD-2341,1710.14,Meera Motors,2026-07-05,paid
INV-2342,ORD-2342,14684.63,Indus Apparel,2026-06-10,paid
INV-2343,ORD-2343,8910.96,Prakash Paints,2026-06-14,paid
INV-2344,ORD-2344,53491.75,Kavya Interiors,2026-07-13,paid
INV-2345,ORD-2345,1942.99,Tarun Auto Parts,2026-08-28,paid
INV-2346,ORD-2346,158289.63,Meera Motors,2026-08-28,paid
INV-2347,ORD-2347,21329.89,Kavya Interiors,2026-07-21,paid
INV-2348,ORD-2348,3954.28,Ravi Traders,2026-06-04,paid
INV-2349,ORD-2349,30186.90,Jyoti Enterprises,2026-07-23,paid
INV-2350,ORD-2350,1193.64,Harit Agro,2026-07-25,paid
INV-2351,ORD-2351,15132.25,Shanti Sweets,2026-08-28,paid
INV-2352,ORD-2352,85922.27,Lotus Bakery,2026-08-16,paid
INV-2353,ORD-2353,3257.05,Lotus Bakery,2026-08-12,paid
INV-2354,ORD-2354,186091.11,Kavya Interiors,2026-06-02,paid
INV-2355,ORD-2355,18753.29,Quantum Solutions,2026-06-29,paid
INV-2356,ORD-2356,8014.90,Shanti Sweets,2026-06-04,paid
INV-2357,ORD-2357,4733.04,Chetak Logistics,2026-06-19,paid
INV-2358,ORD-2358,11966.01,Ganga Stationers,2026-06-13,paid
INV-2359,ORD-2359,3698.51,Jyoti Enterprises,2026-06-03,paid
INV-2360,ORD-2360,248097.90,Falcon Electricals,2026-08-06,paid
INV-2361,ORD-2361,146371.11,Nakshatra Gems,2026-07-22,paid
INV-2362,ORD-2362,19747.77,Nakshatra Gems,2026-06-26,paid
INV-2363,ORD-2363,3885.46,Ganga Stationers,2026-06-09,paid
INV-2364,ORD-2364,1012.80,Kavya Interiors,2026-08-25,paid
INV-2365,ORD-2365,16740.09,Meera Motors,2026-07-15,paid
INV-2366,ORD-2366,69262.63,Jyoti Enterprises,2026-08-26,paid
INV-2367,ORD-2367,3620.46,Devika Foods,2026-08-05,paid
INV-2368,ORD-2368,14733.40,Meera Motors,2026-08-08,paid
INV-2369,ORD-2369,1341.94,Prakash Paints,2026-07-28,paid
INV-2370,ORD-2370,4168.47,Prakash Paints,2026-08-11,paid
INV-2371,ORD-2371,21797.84,Prakash Paints,2026-08-02,paid
INV-2372,ORD-2372,1736.84,Harit Agro,2026-08-08,paid
INV-2373,ORD-2373,7264.22,Prakash Paints,2026-06-15,paid
INV-2374,ORD-2374,20135.72,Lotus Bakery,2026-07-27,paid
INV-2375,ORD-2375,4996.91,Harit Agro,2026-07-28,paid
INV-2376,ORD-2376,42770.95,Devika Foods,2026-08-15,paid
INV-2377,ORD-2377,20696.99,Falcon Electricals,2026-06-27,paid
INV-2378,ORD-2378,11473.07,Tarun Auto Parts,2026-07-08,paid
INV-2379,ORD-2379,235859.86,Quantum Solutions,2026-06-13,paid
INV-2380,ORD-2380,34951.81,Everest Hardware,2026-06-19,paid
INV-2381,ORD-2381,16548.51,Meera Motors,2026-07-05,paid
INV-2382,ORD-2382,19996.05,Chetak Logistics,2026-08-28,paid
INV-2383,ORD-2383,88537.55,Aarav Textiles,2026-06-12,paid
INV-2384,ORD-2384,84675.84,Lotus Bakery,2026-07-21,paid
INV-2385,ORD-2385,50331.64,Kavya Interiors,2026-08-13,paid
INV-2386,ORD-2386,3317.81,Bansal Traders,2026-07-29,paid
INV-2387,ORD-2387,185559.86,Aarav Textiles,2026-08-28,paid
