txn_id,batch_ref,credit,value_date,narration
BNK-44795,ORD-2053,609.47,2026-07-05,RAZORPAY SETL
BNK-77033,ORD-2054,19109.03,2026-07-13,RAZORPAY SETL
BNK-80575,ORD-2055,683.23,2026-07-27,RAZORPAY SETL
BNK-51145,ORD-2056,6248.45,2026-08-27,RAZORPAY SETL
BNK-52753,ORD-2057,46402.60,2026-07-13,RAZORPAY SETL
BNK-32810,ORD-2058,8628.25,2026-08-27,RAZORPAY SETL
BNK-66346,ORD-2059,21162.98,2026-07-11,RAZORPAY SETL
BNK-77000,ORD-2060,13962.29,2026-07-30,RAZORPAY SETL
BNK-53933,ORD-2061,10423.78,2026-08-27,RAZORPAY SETL
BNK-16057,ORD-2062,9268.78,2026-06-27,RAZORPAY SETL
BNK-85454,ORD-2063,19889.06,2026-07-31,RAZORPAY SETL
BNK-23970,ORD-2064,9646.53,2026-08-26,RAZORPAY SETL
BNK-83060,ORD-2065,4697.31,2026-08-08,RAZORPAY SETL
BNK-88047,ORD-2066,20532.06,2026-08-28,RAZORPAY SETL
BNK-81810,ORD-2067,18927.98,2026-08-06,RAZORPAY SETL
BNK-46347,ORD-2068,59170.41,2026-07-05,RAZORPAY SETL
BNK-47450,ORD-2069,9554.00,2026-07-28,RAZORPAY SETL
BNK-60205,ORD-2070,2861.53,2026-06-19,RAZORPAY SETL
BNK-18161,ORD-2071,2279.11,2026-08-11,RAZORPAY SETL
BNK-85456,ORD-2072,19914.58,2026-08-30,RAZORPAY SETL
BNK-81582,ORD-2073,155953.08,2026-07-22,RAZORPAY SETL
BNK-54057,ORD-2074,10211.88,2026-08-03,RAZORPAY SETL
BNK-13534,ORD-2075,85960.23,2026-06-25,RAZORPAY SETL
BNK-33819,ORD-2076,6521.33,2026-07-26,RAZORPAY SETL
BNK-65255,ORD-2077,2486.06,2026-07-16,RAZORPAY SETL
BNK-95215,ORD-2078,19508.95,2026-06-09,RAZORPAY SETL
BNK-29973,ORD-2079,93950.07,2026-06-27,RAZORPAY SETL
BNK-43586,ORD-2080,15895.20,2026-06-30,RAZORPAY SETL
BNK-24168,ORD-2081,23701.81,2026-06-16,RAZORPAY SETL
BNK-35995,ORD-2082,22613.93,2026-07-21,RAZORPAY SETL
BNK-25866,ORD-2083,3882.32,2026-08-30,RAZORPAY SETL
BNK-19038,ORD-2084,49835.73,2026-07-28,RAZORPAY SETL
BNK-57472,ORD-2085,2333.85,2026-08-03,RAZORPAY SETL
BNK-90728,ORD-2086,56300.73,2026-08-09,RAZORPAY SETL
BNK-42177,ORD-2087,58452.70,2026-08-17,RAZORPAY SETL
BNK-97580,ORD-2088,2468.93,2026-08-02,RAZORPAY SETL
BNK-43862,ORD-2089,11228.87,2026-08-03,RAZORPAY SETL
BNK-21221,ORD-2090,44641.14,2026-06-05,RAZORPAY SETL
BNK-74332,ORD-2091,19687.44,2026-08-30,RAZORPAY SETL
BNK-97026,ORD-2092,1461.85,2026-08-29,RAZORPAY SETL
BNK-69473,ORD-2093,11594.90,2026-08-12,RAZORPAY SETL
BNK-78765,ORD-2095,3733.48,2026-07-09,RAZORPAY SETL
BNK-11854,ORD-2096,46104.12,2026-07-18,RAZORPAY SETL
BNK-26551,ORD-2097,4769.06,2026-08-12,RAZORPAY SETL
BNK-67733,ORD-2098,542.09,2026-07-09,RAZORPAY SETL
BNK-74454,ORD-2099,4274.44,2026-06-16,RAZORPAY SETL
BNK-25525,ORD-2100,4052.20,2026-07-10,RAZORPAY SETL
BNK-69049,ORD-2101,20323.59,2026-07-05,RAZORPAY SETL
BNK-32782,ORD-2103,10050.01,2026-06-12,RAZORPAY SETL
BNK-14278,ORD-2104,2467.63,2026-08-18,RAZORPAY SETL
BNK-91927,ORD-2105,57658.71,2026-08-28,RAZORPAY SETL
BNK-28643,ORD-2106,15516.22,2026-08-23,RAZORPAY SETL
BNK-26299,ORD-2107,67985.07,2026-08-14,RAZORPAY SETL
BNK-67377,ORD-2108,23290.58,2026-08-07,RAZORPAY SETL
BNK-21970,ORD-2109,78199.92,2026-08-19,RAZORPAY SETL
BNK-15273,ORD-2110,5287.12,2026-08-28,RAZORPAY SETL
BNK-67132,ORD-2111,17604.68,2026-07-07,RAZORPAY SETL
BNK-97835,ORD-2112,189423.63,2026-07-25,RAZORPAY SETL
BNK-82102,ORD-2113,3536.06,2026-07-10,RAZORPAY SETL
BNK-10150,ORD-2114,1908.60,2026-07-25,RAZORPAY SETL
BNK-75338,ORD-2115,5940.50,2026-08-08,RAZORPAY SETL
BNK-73532,ORD-2116,2901.36,2026-07-09,RAZORPAY SETL
BNK-82384,ORD-2117,76387.39,2026-07-13,RAZORPAY SETL
BNK-30181,ORD-2118,275916.95,2026-07-31,RAZORPAY SETL
BNK-69871,ORD-2119,10221.44,2026-08-03,RAZORPAY SETL
BNK-64387,ORD-2120,3121.75,2026-06-19,RAZORPAY SETL
BNK-96499,ORD-2121,499.47,2026-07-12,RAZORPAY SETL
BNK-81228,ORD-2122,14340.22,2026-07-16,RAZORPAY SETL
BNK-40613,ORD-2123,95175.73,2026-07-04,RAZORPAY SETL
BNK-95461,ORD-2124,76053.82,2026-07-21,RAZORPAY SETL
BNK-23069,ORD-2125,4729.77,2026-07-14,RAZORPAY SETL
BNK-71537,ORD-2126,1121.59,2026-08-24,RAZORPAY SETL
BNK-98389,ORD-2127,2550.78,2026-08-24,RAZORPAY SETL
BNK-90931,ORD-2128,22211.90,2026-08-05,RAZORPAY SETL
BNK-93066,ORD-2129,243468.53,2026-07-27,RAZORPAY SETL
BNK-17355,ORD-2130,18434.45,2026-06-05,RAZORPAY SETL
BNK-33600,ORD-2131,9650.69,2026-07-26,RAZORPAY SETL
BNK-86435,ORD-2132,12352.33,2026-08-28,RAZORPAY SETL
BNK-70981,ORD-2133,13856.49,2026-08-31,RAZORPAY SETL
BNK-65615,ORD-2134,4641.38,2026-08-17,RAZORPAY SETL
BNK-41091,ORD-2135,38998.66,2026-07-22,RAZORPAY SETL
BNK-96275,ORD-2136,24267.29,2026-07-09,RAZORPAY SETL
BNK-75107,ORD-2137,18274.29,2026-06-10,RAZORPAY SETL
BNK-34920,ORD-2138,41261.57,2026-07-17,RAZORPAY SETL
BNK-67779,ORD-2139,22523.66,2026-08-23,RAZORPAY SETL
BNK-64460,ORD-2140,31010.46,2026-07-10,RAZORPAY SETL
BNK-45720,ORD-2141,88593.20,2026-07-20,RAZORPAY SETL
BNK-25095,ORD-2142,93552.88,2026-07-11,RAZORPAY SETL
BNK-62089,ORD-2143,4734.81,2026-08-29,RAZORPAY SETL
BNK-26199,ORD-2144,20322.44,2026-06-04,RAZORPAY SETL
BNK-40647,ORD-2145,20942.17,2026-07-19,RAZORPAY SETL
BNK-18285,ORD-2146,65521.86,2026-08-19,RAZORPAY SETL
BNK-60940,ORD-2148,120316.01,2026-07-04,RAZORPAY SETL
BNK-22978,ORD-2149,19377.03,2026-06-22,RAZORPAY SETL
BNK-38477,ORD-2150,23463.31,2026-06-08,RAZORPAY SETL
BNK-94518,ORD-2151,31685.74,2026-08-29,RAZORPAY SETL
BNK-37801,ORD-2152,4742.31,2026-07-30,RAZORPAY SETL
BNK-84000,ORD-2153,107516.97,2026-07-14,RAZORPAY SETL
BNK-29340,ORD-2154,1437.05,2026-07-02,RAZORPAY SETL
BNK-42853,ORD-2155,4259.87,2026-06-20,RAZORPAY SETL
BNK-41186,ORD-2156,5385.43,2026-06-04,RAZORPAY SETL
BNK-18330,ORD-2157,718.44,2026-07-27,RAZORPAY SETL
BNK-15683,ORD-2158,7011.61,2026-08-05,RAZORPAY SETL
BNK-62640,ORD-2159,3314.91,2026-06-05,RAZORPAY SETL
BNK-89730,ORD-2160,22646.64,2026-06-11,RAZORPAY SETL
BNK-59925,ORD-2161,167.44,2026-08-13,RAZORPAY SETL
BNK-95814,ORD-2162,16704.78,2026-06-16,RAZORPAY SETL
BNK-54424,ORD-2163,40156.14,2026-07-29,RAZORPAY SETL
BNK-43408,ORD-2164,6738.84,2026-07-27,RAZORPAY SETL
BNK-66606,ORD-2165,14143.51,2026-06-13,RAZORPAY SETL
BNK-53207,ORD-2166,65153.03,2026-08-18,RAZORPAY SETL
BNK-47700,ORD-2167,17874.77,2026-07-28,RAZORPAY SETL
BNK-39392,ORD-2168,1809.89,2026-06-23,RAZORPAY SETL
BNK-66244,ORD-2169,17336.52,2026-08-14,RAZORPAY SETL
BNK-45054,ORD-2170,17432.63,2026-06-07,RAZORPAY SETL
BNK-33777,ORD-2171,45599.46,2026-07-16,RAZORPAY SETL
BNK-79531,ORD-2172,3743.87,2026-06-05,RAZORPAY SETL
BNK-84395,ORD-2173,7955.89,2026-07-13,RAZORPAY SETL
BNK-45665,ORD-2174,3803.04,2026-06-10,RAZORPAY SETL
BNK-77154,ORD-2175,13514.24,2026-07-06,RAZORPAY SETL
BNK-97442,ORD-2176,3468.15,2026-08-17,RAZORPAY SETL
BNK-37686,ORD-2177,16585.62,2026-06-02,RAZORPAY SETL
BNK-33028,ORD-2178,1015.39,2026-08-06,RAZORPAY SETL
BNK-62044,ORD-2179,60890.58,2026-08-27,RAZORPAY SETL
BNK-85156,ORD-2180,6402.50,2026-07-14,RAZORPAY SETL
BNK-91018,ORD-2181,2267.84,2026-07-13,RAZORPAY SETL
BNK-62487,ORD-2182,4198.70,2026-07-04,RAZORPAY SETL
BNK-32037,ORD-2183,79025.29,2026-07-01,RAZORPAY SETL
BNK-94599,ORD-2184,8668.55,2026-07-17,RAZORPAY SETL
BNK-95918,ORD-2185,1612.88,2026-06-26,RAZORPAY SETL
BNK-83989,ORD-2186,15890.63,2026-08-16,RAZORPAY SETL
BNK-18950,ORD-2187,4754.46,2026-07-12,RAZORPAY SETL
BNK-50685,ORD-2188,67719.67,2026-07-19,RAZORPAY SETL
BNK-90610,ORD-2189,4142.50,2026-06-13,RAZORPAY SETL
BNK-84928,ORD-2190,15706.69,2026-06-08,RAZORPAY SETL
BNK-55015,ORD-2191,14671.05,2026-06-10,RAZORPAY SETL
BNK-89928,ORD-2192,3597.35,2026-07-30,RAZORPAY SETL
BNK-16863,ORD-2193,52780.51,2026-07-17,RAZORPAY SETL
BNK-43029,ORD-2194,903.44,2026-08-28,RAZORPAY SETL
BNK-55851,ORD-2195,48822.10,2026-08-17,RAZORPAY SETL
BNK-59372,ORD-2196,3602.67,2026-06-13,RAZORPAY SETL
BNK-94675,ORD-2197,73482.62,2026-08-30,RAZORPAY SETL
BNK-73736,ORD-2198,11962.80,2026-06-25,RAZORPAY SETL
BNK-80748,ORD-2199,1787.85,2026-06-16,RAZORPAY SETL
BNK-59377,ORD-2200,1967.88,2026-08-20,RAZORPAY SETL
BNK-15726,ORD-2201,80877.50,2026-06-25,RAZORPAY SETL
BNK-41348,ORD-2202,216877.07,2026-07-29,RAZORPAY SETL
BNK-70513,ORD-2203,38617.80,2026-08-29,RAZORPAY SETL
BNK-89254,ORD-2204,13057.61,2026-06-22,RAZORPAY SETL
BNK-77621,ORD-2205,1851.42,2026-07-21,RAZORPAY SETL
BNK-39102,ORD-2206,4465.94,2026-06-21,RAZORPAY SETL
BNK-40903,ORD-2207,178661.07,2026-07-24,RAZORPAY SETL
BNK-53947,ORD-2208,5432.45,2026-06-16,RAZORPAY SETL
BNK-28191,ORD-2209,4519.05,2026-08-03,RAZORPAY SETL
BNK-38266,ORD-2210,4984.54,2026-06-12,RAZORPAY SETL
BNK-47762,ORD-2211,216542.11,2026-07-26,RAZORPAY SETL
BNK-24530,ORD-2212,2332.82,2026-08-21,RAZORPAY SETL
BNK-28818,ORD-2213,5202.95,2026-08-08,RAZORPAY SETL
BNK-97584,ORD-2214,9579.73,2026-07-25,RAZORPAY SETL
BNK-12665,ORD-2215,2799.60,2026-08-07,RAZORPAY SETL
BNK-12128,ORD-2216,2188.08,2026-07-20,RAZORPAY SETL
BNK-86271,ORD-2217,3708.59,2026-08-21,RAZORPAY SETL
BNK-99742,ORD-2218,2036.14,2026-07-17,RAZORPAY SETL
BNK-69988,ORD-2219,20728.92,2026-06-12,RAZORPAY SETL
BNK-77552,ORD-2220,1364.63,2026-06-08,RAZORPAY SETL
BNK-56789,ORD-2221,5430.01,2026-08-23,RAZORPAY SETL
BNK-67637,ORD-2222,4000.35,2026-08-01,RAZORPAY SETL
BNK-78062,ORD-2223,194538.57,2026-08-05,RAZORPAY SETL
BNK-48504,ORD-2224,30189.83,2026-08-18,RAZORPAY SETL
BNK-65851,ORD-2225,1787.18,2026-07-31,RAZORPAY SETL
BNK-45986,ORD-2226,5709.11,2026-07-19,RAZORPAY SETL
BNK-99051,ORD-2227,3289.31,2026-07-20,RAZORPAY SETL
BNK-18812,ORD-2228,3157.76,2026-07-28,RAZORPAY SETL
BNK-99006,ORD-2229,23423.19,2026-06-08,RAZORPAY SETL
BNK-58096,ORD-2230,19783.51,2026-08-14,RAZORPAY SETL
BNK-60723,ORD-2231,986.67,2026-06-27,RAZORPAY SETL
BNK-74382,ORD-2232,75966.69,2026-07-01,RAZORPAY SETL
BNK-99381,ORD-2233,57513.08,2026-07-28,RAZORPAY SETL
BNK-49315,ORD-2234,16943.98,2026-08-13,RAZORPAY SETL
BNK-28202,ORD-2235,61666.18,2026-06-17,RAZORPAY SETL
BNK-82305,ORD-2236,2922.46,2026-07-20,RAZORPAY SETL
BNK-63665,ORD-2237,2237.64,2026-08-04,RAZORPAY SETL
BNK-99143,ORD-2238,1881.15,2026-06-12,RAZORPAY SETL
BNK-26912,ORD-2239,81548.65,2026-08-24,RAZORPAY SETL
BNK-52291,ORD-2240,62350.62,2026-07-10,RAZORPAY SETL
BNK-39552,ORD-2240,62350.62,2026-07-11,RAZORPAY SETL
BNK-35729,ORD-2241,198970.36,2026-07-08,RAZORPAY SETL
BNK-75873,ORD-2242,3234.42,2026-08-21,RAZORPAY SETL
BNK-89316,ORD-2243,127751.05,2026-08-27,RAZORPAY SETL
BNK-85598,ORD-2244,4283.49,2026-06-12,RAZORPAY SETL
BNK-92203,ORD-2245,54916.65,2026-08-22,RAZORPAY SETL
BNK-69446,ORD-2246,20595.95,2026-08-29,RAZORPAY SETL
BNK-89516,ORD-2247,2314.36,2026-07-31,RAZORPAY SETL
BNK-58567,ORD-2248,87444.72,2026-07-23,RAZORPAY SETL
BNK-28465,ORD-2249,2537.79,2026-07-07,RAZORPAY SETL
BNK-52917,ORD-2250,266393.92,2026-07-25,RAZORPAY SETL
BNK-50988,ORD-2250,266393.92,2026-07-26,RAZORPAY SETL
BNK-50441,ORD-2251,60897.99,2026-08-07,RAZORPAY SETL
BNK-56254,ORD-2252,196343.19,2026-07-02,RAZORPAY SETL
BNK-47453,ORD-2253,22112.33,2026-08-26,RAZORPAY SETL
BNK-15930,ORD-2254,22114.59,2026-07-19,RAZORPAY SETL
BNK-76093,ORD-2255,11961.37,2026-07-08,RAZORPAY SETL
BNK-26864,ORD-2256,4834.07,2026-08-30,RAZORPAY SETL
BNK-28909,ORD-2257,24151.99,2026-08-13,RAZORPAY SETL
BNK-53652,ORD-2258,5668.10,2026-06-06,RAZORPAY SETL
BNK-90356,ORD-2259,16721.06,2026-08-06,RAZORPAY SETL
BNK-76494,ORD-2260,242014.28,2026-07-12,RAZORPAY SETL
BNK-53416,ORD-2261,15874.79,2026-08-01,RAZORPAY SETL
BNK-88238,ORD-2262,20441.03,2026-08-31,RAZORPAY SETL
BNK-78712,ORD-2263,18969.50,2026-08-16,RAZORPAY SETL
BNK-36724,ORD-2265,2426.03,2026-07-25,RAZORPAY SETL
BNK-77984,ORD-2266,268083.84,2026-06-11,RAZORPAY SETL
BNK-70249,ORD-2267,191056.29,2026-07-24,RAZORPAY SETL
BNK-44650,ORD-2268,19957.42,2026-08-30,RAZORPAY SETL
BNK-47880,ORD-2269,152124.37,2026-07-10,RAZORPAY SETL
BNK-85166,ORD-2270,2020.77,2026-07-08,RAZORPAY SETL
BNK-15513,ORD-2271,53301.61,2026-07-16,RAZORPAY SETL
BNK-38047,ORD-2272,2431.91,2026-07-06,RAZORPAY SETL
BNK-90698,ORD-2273,2957.59,2026-07-06,RAZORPAY SETL
BNK-40518,ORD-2274,3431.31,2026-08-08,RAZORPAY SETL
BNK-82135,ORD-2275,2563.85,2026-08-28,RAZORPAY SETL
BNK-36143,ORD-2276,23141.30,2026-08-02,RAZORPAY SETL
BNK-40437,ORD-2277,3326.15,2026-06-15,RAZORPAY SETL
BNK-62034,ORD-2278,37230.00,2026-06-24,RAZORPAY SETL
BNK-49110,ORD-2279,285525.02,2026-07-09,RAZORPAY SETL
BNK-78723,ORD-2280,163067.02,2026-08-01,RAZORPAY SETL
BNK-31298,ORD-2281,58683.16,2026-06-26,RAZORPAY SETL
BNK-98395,ORD-2282,25441.38,2026-07-16,RAZORPAY SETL
BNK-52982,ORD-2283,17355.04,2026-07-24,RAZORPAY SETL
BNK-44181,ORD-2284,1106.02,2026-07-13,RAZORPAY SETL
BNK-85088,ORD-2285,94273.97,2026-07-12,RAZORPAY SETL
BNK-30934,ORD-2286,6095.17,2026-06-18,RAZORPAY SETL
BNK-93717,ORD-2287,271009.86,2026-07-16,RAZORPAY SETL
BNK-69634,ORD-2288,9161.14,2026-06-20,RAZORPAY SETL
BNK-97044,ORD-2289,18589.49,2026-08-03,RAZORPAY SETL
BNK-79228,ORD-2290,16517.07,2026-06-14,RAZORPAY SETL
BNK-85065,ORD-2291,32627.05,2026-08-13,RAZORPAY SETL
BNK-86434,ORD-2292,2774.48,2026-06-18,RAZORPAY SETL
BNK-69873,ORD-2293,5968.46,2026-06-20,RAZORPAY SETL
BNK-10395,ORD-2294,20639.45,2026-06-05,RAZORPAY SETL
BNK-17897,ORD-2295,2349.84,2026-08-30,RAZORPAY SETL
BNK-19046,ORD-2295,2349.84,2026-08-31,RAZORPAY SETL
BNK-94656,ORD-2296,2284.68,2026-06-21,RAZORPAY SETL
BNK-99486,ORD-2297,172330.62,2026-07-21,RAZORPAY SETL
BNK-61518,ORD-2298,4268.13,2026-06-17,RAZORPAY SETL
BNK-81361,ORD-2299,79785.02,2026-07-11,RAZORPAY SETL
BNK-34704,ORD-2300,42535.30,2026-07-16,RAZORPAY SETL
BNK-24790,ORD-2300,42535.30,2026-07-17,RAZORPAY SETL
BNK-18819,ORD-2301,55110.98,2026-06-04,RAZORPAY SETL
BNK-15798,ORD-2302,18005.27,2026-06-08,RAZORPAY SETL
BNK-47914,ORD-2303,19613.64,2026-06-09,RAZORPAY SETL
BNK-49552,ORD-2304,650.38,2026-08-28,RAZORPAY SETL
BNK-32955,ORD-2305,1808.54,2026-06-11,RAZORPAY SETL
BNK-59958,ORD-2306,5797.55,2026-07-18,RAZORPAY SETL
BNK-80507,ORD-2307,12854.48,2026-07-11,RAZORPAY SETL
BNK-64090,ORD-2308,3597.16,2026-07-31,RAZORPAY SETL
BNK-94765,ORD-2309,12467.05,2026-07-04,RAZORPAY SETL
BNK-59436,ORD-2310,31181.14,2026-06-26,RAZORPAY SETL
BNK-83249,ORD-2311,808.00,2026-08-18,RAZORPAY SETL
BNK-25376,ORD-2312,48792.97,2026-06-03,RAZORPAY SETL
BNK-82362,ORD-2313,75350.71,2026-06-29,RAZORPAY SETL
BNK-57139,ORD-2314,15303.12,2026-07-18,RAZORPAY SETL
BNK-58589,ORD-2315,20559.40,2026-08-02,RAZORPAY SETL
BNK-82523,ORD-2316,9203.04,2026-06-20,RAZORPAY SETL
BNK-85909,ORD-2316,9203.04,2026-06-21,RAZORPAY SETL
BNK-42208,ORD-2317,1350.22,2026-07-02,RAZORPAY SETL
BNK-70401,ORD-2318,4098.11,2026-08-25,RAZORPAY SETL
BNK-10836,ORD-2320,4208.42,2026-08-26,RAZORPAY SETL
BNK-58916,ORD-2321,1151.79,2026-07-01,RAZORPAY SETL
BNK-82305,ORD-2322,72689.40,2026-06-04,RAZORPAY SETL
BNK-98346,ORD-2323,10247.13,2026-07-08,RAZORPAY SETL
BNK-91235,ORD-2324,911.38,2026-06-21,RAZORPAY SETL
BNK-84055,ORD-2325,2232.08,2026-07-20,RAZORPAY SETL
BNK-14152,ORD-2326,4126.54,2026-06-14,RAZORPAY SETL
BNK-32463,ORD-2327,14177.43,2026-08-22,RAZORPAY SETL
BNK-40115,ORD-2328,11351.05,2026-06-16,RAZORPAY SETL
BNK-81176,ORD-2329,5791.26,2026-06-13,RAZORPAY SETL
BNK-28899,ORD-2330,4224.80,2026-06-04,RAZORPAY SETL
BNK-61007,ORD-2331,156082.79,2026-08-13,RAZORPAY SETL
BNK-20279,ORD-2332,3808.19,2026-06-21,RAZORPAY SETL
BNK-69054,ORD-2334,161374.83,2026-08-23,RAZORPAY SETL
BNK-96595,ORD-2335,12213.34,2026-06-27,RAZORPAY SETL
BNK-30214,ORD-2336,1571.05,2026-06-11,RAZORPAY SETL
BNK-50405,ORD-2337,47600.35,2026-06-15,RAZORPAY SETL
BNK-82710,ORD-2338,871.77,2026-07-28,RAZORPAY SETL
BNK-52523,ORD-2339,1962.99,2026-06-15,RAZORPAY SETL
BNK-78302,ORD-2340,6536.01,2026-08-12,RAZORPAY SETL
BNK-18292,ORD-2341,1669.78,2026-07-07,RAZORPAY SETL
BNK-42321,ORD-2342,14338.07,2026-06-12,RAZORPAY SETL
BNK-66441,ORD-2344,52229.34,2026-07-15,RAZORPAY SETL
BNK-51180,ORD-2345,1897.14,2026-08-29,RAZORPAY SETL
BNK-85481,ORD-2346,154553.99,2026-08-31,RAZORPAY SETL
BNK-83905,ORD-2347,20826.50,2026-07-23,RAZORPAY SETL
BNK-37479,ORD-2348,3860.96,2026-06-07,RAZORPAY SETL
BNK-28242,ORD-2349,29474.49,2026-07-26,RAZORPAY SETL
BNK-68860,ORD-2350,2864.74,2026-07-27,RAZORPAY SETL
BNK-14818,ORD-2351,14775.13,2026-08-30,RAZORPAY SETL
BNK-24335,ORD-2352,83894.50,2026-08-19,RAZORPAY SETL
BNK-94769,ORD-2353,3180.18,2026-08-15,RAZORPAY SETL
BNK-39098,ORD-2354,181699.36,2026-06-03,RAZORPAY SETL
BNK-61266,ORD-2355,18310.71,2026-07-01,RAZORPAY SETL
BNK-48722,ORD-2356,7825.75,2026-06-06,RAZORPAY SETL
BNK-54966,ORD-2357,4621.34,2026-06-21,RAZORPAY SETL
BNK-69303,ORD-2358,11683.61,2026-06-15,RAZORPAY SETL
BNK-24334,ORD-2359,3611.23,2026-06-05,RAZORPAY SETL
BNK-30989,ORD-2360,242242.79,2026-08-07,RAZORPAY SETL
BNK-34430,ORD-2361,142916.75,2026-07-25,RAZORPAY SETL
BNK-66302,ORD-2362,19281.72,2026-06-28,RAZORPAY SETL
BNK-80371,ORD-2363,3793.76,2026-06-12,RAZORPAY SETL
BNK-93769,ORD-2364,988.90,2026-08-27,RAZORPAY SETL
BNK-90918,ORD-2365,16345.02,2026-07-17,RAZORPAY SETL
BNK-25448,ORD-2366,67628.03,2026-08-27,RAZORPAY SETL
BNK-88174,ORD-2367,3535.02,2026-08-07,RAZORPAY SETL
BNK-32706,ORD-2368,14385.69,2026-08-11,RAZORPAY SETL
BNK-74876,ORD-2370,4070.09,2026-08-14,RAZORPAY SETL
BNK-84107,ORD-2371,21283.41,2026-08-03,RAZORPAY SETL
BNK-69942,ORD-2372,1695.85,2026-08-10,RAZORPAY SETL
BNK-81186,ORD-2373,7092.78,2026-06-17,RAZORPAY SETL
BNK-65725,ORD-2374,19660.52,2026-07-30,RAZORPAY SETL
BNK-21401,ORD-2375,4878.98,2026-07-30,RAZORPAY SETL
BNK-89988,ORD-2376,41761.56,2026-08-18,RAZORPAY SETL
BNK-55982,ORD-2377,20208.54,2026-06-28,RAZORPAY SETL
BNK-63948,ORD-2379,230293.57,2026-06-17,RAZORPAY SETL
