order_ref,noise
ORD-2188,clean
ORD-2189,clean
ORD-2190,clean
ORD-2191,rounding
ORD-2192,clean
ORD-2193,clean
ORD-2194,clean
ORD-2195,clean
ORD-2196,clean
ORD-2197,clean
ORD-2198,clean
ORD-2199,clean
ORD-2200,clean
ORD-2201,clean
ORD-2202,clean
ORD-2203,clean
ORD-2204,clean
ORD-2205,fee_adjustment
ORD-2206,clean
ORD-2207,clean
ORD-2208,clean
ORD-2209,clean
ORD-2210,clean
ORD-2211,clean
ORD-2212,clean
ORD-2213,clean
ORD-2214,clean
ORD-2215,clean
ORD-2216,clean
ORD-2217,clean
ORD-2218,clean
ORD-2219,clean
ORD-2220,clean
ORD-2221,fee_adjustment
ORD-2222,delayed_settlement
ORD-2223,clean
ORD-2224,clean
ORD-2225,clean
ORD-2226,clean
ORD-2227,clean
ORD-2228,clean
ORD-2229,clean
ORD-2230,clean
ORD-2231,delayed_settlement
ORD-2232,clean
ORD-2233,missing_invoice
ORD-2234,fee_adjustment
ORD-2235,clean
ORD-2236,clean
ORD-2237,clean
ORD-2238,clean
ORD-2239,clean
ORD-2240,duplicate_settlement
ORD-2241,clean
ORD-2242,clean
ORD-2243,clean
ORD-2244,clean
ORD-2245,clean
ORD-2246,clean
ORD-2247,clean
ORD-2248,clean
ORD-2249,clean
ORD-2250,duplicate_settlement
ORD-2251,clean
ORD-2252,clean
ORD-2253,clean
ORD-2254,clean
ORD-2255,clean
ORD-2256,missing_invoice
ORD-2257,clean
ORD-2258,clean
ORD-2259,clean
ORD-2260,clean
ORD-2261,clean
ORD-2262,clean
ORD-2263,clean
ORD-2264,missing_bank
ORD-2265,clean
ORD-2266,clean
ORD-2267,delayed_settlement
ORD-2268,clean
ORD-2269,clean
ORD-2270,clean
ORD-2271,clean
ORD-2272,clean
ORD-2273,clean
ORD-2274,clean
ORD-2275,missing_invoice
ORD-2276,clean
ORD-2277,clean
ORD-2278,clean
ORD-2279,clean
ORD-2280,clean
ORD-2281,clean
ORD-2282,clean
ORD-2283,clean
ORD-2284,clean
ORD-2285,clean
ORD-2286,clean
ORD-2287,delayed_settlement
ORD-2288,clean
ORD-2289,clean
ORD-2290,clean
ORD-2291,clean
ORD-2292,clean
ORD-2293,clean
ORD-2294,clean
ORD-2295,duplicate_settlement
ORD-2296,missing_invoice
ORD-2297,missing_invoice
ORD-2298,clean
ORD-2299,clean
ORD-2300,duplicate_settlement
ORD-2301,clean
ORD-2302,clean
ORD-2303,clean
ORD-2304,fee_adjustment
ORD-2305,clean
ORD-2306,clean
ORD-2307,clean
ORD-2308,missing_invoice
ORD-2309,clean
ORD-2310,clean
ORD-2311,clean
ORD-2312,clean
ORD-2313,clean
ORD-2314,clean
ORD-2315,clean
ORD-2316,duplicate_settlement
ORD-2317,clean
ORD-2318,clean
ORD-2319,missing_bank
ORD-2320,clean
ORD-2321,clean
ORD-2322,clean
ORD-2323,clean
ORD-2324,clean
ORD-2325,clean
ORD-2326,clean
ORD-2327,clean
ORD-2328,clean
ORD-2329,clean
ORD-2330,clean
ORD-2331,clean
ORD-2332,clean
ORD-2333,missing_bank
ORD-2334,clean
ORD-2335,clean
ORD-2336,clean
ORD-2337,clean
ORD-2338,clean
ORD-2339,fee_adjustment
ORD-2340,clean
ORD-2341,clean
ORD-2342,clean
ORD-2343,missing_bank
ORD-2344,clean
ORD-2345,clean
ORD-2346,clean
ORD-2347,clean
ORD-2348,clean
ORD-2349,clean
ORD-2350,amount_anomaly
ORD-2351,clean
ORD-2352,clean
ORD-2353,clean
ORD-2354,clean
ORD-2355,clean
ORD-2356,clean
ORD-2357,clean
ORD-2358,clean
ORD-2359,clean
ORD-2360,clean
ORD-2361,clean
ORD-2362,clean
ORD-2363,clean
ORD-2364,clean
ORD-2365,clean
ORD-2366,clean
ORD-2367,clean
ORD-2368,clean
ORD-2369,missing_bank
ORD-2370,clean
ORD-2371,clean
ORD-2372,clean
ORD-2373,clean
ORD-2374,clean
ORD-2375,clean
ORD-2376,clean
ORD-2377,clean
ORD-2378,missing_bank
ORD-2379,delayed_settlement
ORD-2380,clean
ORD-2381,clean
ORD-2382,clean
ORD-2383,clean
ORD-2384,clean
ORD-2385,clean
ORD-2386,clean
ORD-2387,clean
ORD-2388,clean
ORD-2389,clean
ORD-2390,clean
ORD-2391,clean
ORD-2392,clean
ORD-2393,clean
ORD-2394,clean
ORD-2395,clean
ORD-2396,clean
ORD-2397,fee_adjustment
ORD-2398,clean
ORD-2399,duplicate_settlement
ORD-2400,clean
ORD-2401,missing_bank
ORD-2402,clean
ORD-2403,duplicate_settlement
ORD-2404,clean
ORD-2405,clean
ORD-2406,clean
ORD-2407,clean
ORD-2408,clean
ORD-2409,clean
ORD-2410,delayed_settlement
ORD-2411,clean
ORD-2412,clean
ORD-2413,clean
ORD-2414,rounding
ORD-2415,clean
ORD-2416,clean
ORD-2417,clean
ORD-2418,clean
ORD-2419,clean
ORD-2420,delayed_settlement
ORD-2421,clean
ORD-2422,clean
ORD-2423,clean
ORD-2424,clean
ORD-2425,clean
ORD-2426,clean
ORD-2427,clean
ORD-2428,clean
ORD-2429,clean
ORD-2430,clean
ORD-2431,clean
ORD-2432,clean
ORD-2433,delayed_settlement
ORD-2434,clean
ORD-2435,clean
ORD-2436,clean
ORD-2437,clean
ORD-2438,clean
ORD-2439,clean
ORD-2440,clean
ORD-2441,clean
ORD-2442,clean
ORD-2443,clean
ORD-2444,delayed_settlement
ORD-2445,missing_invoice
ORD-2446,clean
ORD-2447,clean
ORD-2448,clean
ORD-2449,missing_bank
ORD-2450,clean
ORD-2451,clean
ORD-2452,clean
ORD-2453,clean
ORD-2454,fee_adjustment
ORD-2455,clean
ORD-2456,clean
ORD-2457,clean
ORD-2458,fee_adjustment
ORD-2459,clean
ORD-2460,clean
ORD-2461,clean
ORD-2462,clean
ORD-2463,clean
ORD-2464,clean
ORD-2465,clean
ORD-2466,clean
ORD-2467,clean
ORD-2468,clean
ORD-2469,clean
ORD-2470,clean
ORD-2471,clean
ORD-2472,clean
ORD-2473,duplicate_settlement
ORD-2474,clean
ORD-2475,clean
ORD-2476,clean
ORD-2477,fee_adjustment
ORD-2478,clean
ORD-2479,fee_adjustment
ORD-2480,fee_adjustment
ORD-2481,clean
ORD-2482,duplicate_settlement
ORD-2483,clean
ORD-2484,clean
ORD-2485,clean
ORD-2486,clean
ORD-2487,clean
ORD-2488,clean
ORD-2489,clean
ORD-2490,clean
ORD-2491,clean
ORD-2492,clean
ORD-2493,clean
ORD-2494,clean
ORD-2495,fee_adjustment
ORD-2496,clean
ORD-2497,clean
ORD-2498,clean
ORD-2499,clean
